"","Campaign Name","Ad Set Name","Ad Name","","","","",""
"2026-06-19","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","4 - IG | M | 35+ | Sudeste | Publico High Ticket — Iphone","AD 05 | Vc pode ter conquistas","520","24","10,95","506","21,06"
"2026-06-19","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","4 - IG | M | 35+ | Sudeste | Publico High Ticket — Iphone","AD 06 | Ela tem sorte","82","3","0,97","77","11,83"
"2026-06-20","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","415","23","12,67","403","30,53"
"2026-06-20","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","516","33","15,64","506","30,31"
"2026-06-20","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","4 - IG | M | 35+ | Sudeste | Publico High Ticket — Iphone","AD 05 | Vc pode ter conquistas","1297","44","13,6","1227","10,49"
"2026-06-20","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","4 - IG | M | 35+ | Sudeste | Publico High Ticket — Iphone","AD 06 | Ela tem sorte","99","1","1,35","91","13,64"
"2026-06-21","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","621","33","22,39","600","36,05"
"2026-06-21","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","701","24","21,49","671","30,66"
"2026-06-21","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","2","","0,03","2","15"
"2026-06-21","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","4 - IG | M | 35+ | Sudeste | Publico High Ticket — Iphone","AD 05 | Vc pode ter conquistas","3699","89","21,42","3570","5,79"
"2026-06-21","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","4 - IG | M | 35+ | Sudeste | Publico High Ticket — Iphone","AD 06 | Ela tem sorte","69","1","0,66","67","9,57"
"2026-06-22","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","553","46","22,16","552","40,07"
"2026-06-22","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","524","32","19,17","515","36,58"
"2026-06-22","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","3","1","0,03","3","10"
"2026-06-22","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","4 - IG | M | 35+ | Sudeste | Publico High Ticket — Iphone","AD 05 | Vc pode ter conquistas","2179","55","18,22","2065","8,36"
"2026-06-22","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","4 - IG | M | 35+ | Sudeste | Publico High Ticket — Iphone","AD 06 | Ela tem sorte","9","","0,14","9","15,56"
"2026-06-23","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","473","38","18,03","449","38,12"
"2026-06-23","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","557","19","17,05","533","30,61"
"2026-06-23","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","1","","0,05","1","50"
"2026-06-23","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","4 - IG | M | 35+ | Sudeste | Publico High Ticket — Iphone","AD 05 | Vc pode ter conquistas","2407","51","17,6","2246","7,31"
"2026-06-23","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","4 - IG | M | 35+ | Sudeste | Publico High Ticket — Iphone","AD 06 | Ela tem sorte","11","1","0,2","11","18,18"
"2026-06-24","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","432","20","17,7","420","40,97"
"2026-06-24","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","519","24","17,5","503","33,72"
"2026-06-24","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","2","","0,03","2","15"
"2026-06-24","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","4 - IG | M | 35+ | Sudeste | Publico High Ticket — Iphone","AD 05 | Vc pode ter conquistas","1056","19","5,32","1008","5,04"
"2026-06-24","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","4 - IG | M | 35+ | Sudeste | Publico High Ticket — Iphone","AD 06 | Ela tem sorte","23","","0,16","22","6,96"
"2026-06-24","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","5 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","136","8","4,11","131","30,22"
"2026-06-24","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","5 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","368","20","9,99","324","27,15"
"2026-06-25","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","395","25","16,54","392","41,87"
"2026-06-25","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","494","23","18,27","463","36,98"
"2026-06-25","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","5 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","55","1","2,79","51","50,73"
"2026-06-25","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","5 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","687","27","15,76","623","22,94"
"2026-06-26","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","318","18","16,19","301","50,91"
"2026-06-26","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","463","25","17,16","451","37,06"
"2026-06-26","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 04 | É silencioso. Não tem ameaça. Não tem vilão.","11","1","0,5","11","45,45"
"2026-06-26","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","5 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","9","","0,26","9","28,89"
"2026-06-26","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","5 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","519","19","15,5","473","29,87"
"2026-06-26","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","588","21","12,56","539","21,36"
"2026-06-26","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","10","","0,18","10","18"
"2026-06-27","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","318","12","12,88","318","40,5"
"2026-06-27","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","517","20","14,67","502","28,38"
"2026-06-27","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","5 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","755","26","15,39","675","20,38"
"2026-06-27","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","484","16","10,9","450","22,52"
"2026-06-27","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","113","8","2,71","108","23,98"
"2026-06-28","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","722","32","22,21","711","30,76"
"2026-06-28","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","738","35","21,36","728","28,94"
"2026-06-28","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","5 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","691","17","15,5","621","22,43"
"2026-06-28","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","821","34","19,93","757","24,28"
"2026-06-28","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","28","1","1,14","28","40,71"
"2026-06-29","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","658","35","19,81","623","30,11"
"2026-06-29","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","634","34","18,77","593","29,61"
"2026-06-29","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","971","35","21,43","876","22,07"
"2026-06-29","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","15","","0,29","15","19,33"
"2026-06-30","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","445","39","18,6","435","41,8"
"2026-06-30","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","599","23","18,71","555","31,24"
"2026-06-30","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","694","27","19,36","635","27,9"
"2026-06-30","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","3","1","0,26","3","86,67"
"2026-07-01","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","497","15","18,3","475","36,82"
"2026-07-01","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","3 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 03 | Firme nas decisões, doce na essência","506","25","17,83","492","35,24"
"2026-07-01","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 06 | Ela tem sorte","662","36","17,86","635","26,98"
"2026-07-01","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","6 - IG | M | 35+ | Sudeste | Publico High Ticket | Lista MC LLK","AD 05 | Vc pode ter conquistas","5","","0,17","5","34"
"2026-07-02","LM | E1-DIST |  | ENGJ | ABO | 2026-06-02 | Visitas no Perfil","1 - IG | M | 35+ | Sudeste | Publico High Ticket","AD 02 | Ambição sem estrutura cansa.","424","26","16,7","409","39,39"
